geoid,name,population,value,percentile,numerator,denominator
06037212620,2126.20,4087,-0.356757232494094,0.287676508344031,,
06037901004,9010.04,12463,0.0715201626005957,0.53183568677792,,
06037124600,1246,2691,-0.165085077499543,0.393453145057766,,
06085508403,5084.03,3131,1.02046346510088,0.972400513478819,,
06045011002,110.02,6135,0.125565653324248,0.565340179717587,,
06037226410,2264.10,3665,-1.03391100789879,0.0342747111681643,,
06037119340,1193.40,4264,-0.971018768491142,0.0495507060333761,,
06037670403,6704.03,2733,0.583160886898012,0.831322207958922,,
06037199110,1991.10,2705,-0.827631418064008,0.0817715019255456,,
06077003113,31.13,6844,-0.776176961063694,0.0974326059050064,,
06009000121,1.21,4483,0.0616555740895873,0.525288831835687,,
06001407900,4079,2873,0.765172484375199,0.91219512195122,,
06037104105,1041.05,6054,-0.374388825891496,0.278305519897304,,
06037191204,1912.04,2033,-0.295786474479583,0.320795892169448,,
06067009329,93.29,2327,-0.184929971021603,0.382670089858793,,
06037408005,4080.05,5161,0.30847709443262,0.670860077021823,,
06037408138,4081.38,5432,-0.676537097864423,0.133632862644416,,
06037574901,5749.01,3697,0.581574407178859,0.830808729139923,,
06037432201,4322.01,4491,-0.224202315935041,0.357766367137356,,
06037430701,4307.01,5846,0.257394483013657,0.638896020539153,,
06037121600,1216,2735,-0.0742024502708812,0.444929396662388,,
06037701801,7018.01,7001,-0.0829521300913742,0.4400513478819,,
06099002503,25.03,4848,-0.757124375513272,0.104749679075738,,
06041125000,1250,4177,0.965730509163979,0.962644415917843,,
06037189903,1899.03,2089,0.114788695465676,0.558793324775353,,
06073003111,31.11,6402,-0.513509314778083,0.206290115532734,,
06065041404,414.04,3927,-0.0734219338435561,0.445442875481386,,
06037269500,2695,3797,1.07236954285607,0.978562259306804,,
06099003908,39.08,2428,-0.629457960968234,0.152759948652118,,
06019003804,38.04,6349,-0.418853588080902,0.255327342747112,,
06037134520,1345.20,6065,-0.666069232887795,0.138639281129653,,
06037135113,1351.13,3485,0.415153634024843,0.737997432605905,,
06115040600,406,5702,-0.56880194393536,0.183697047496791,,
06065043003,430.03,7243,-0.648964667720507,0.144287548138639,,
06037267700,2677,3276,0.505936661749101,0.790372272143774,,
06001450744,4507.44,6273,0.870806345828658,0.943003851091142,,
06037297602,2976.02,3687,0.103978796419315,0.55211810012837,,
06001421100,4211,2084,1.26625140342488,0.992297817715019,,
06019001600,16,5177,-0.339457738967191,0.296405648267009,,
06037117405,1174.05,3574,-0.902155203696222,0.0649550706033376,,
06073019404,194.04,3409,0.0170555868964388,0.499614890885751,,
06037534203,5342.03,3206,-0.756264986824736,0.104878048780488,,
06059075506,755.06,3636,0.412187486741423,0.736200256739409,,
06037131010,1310.10,6686,-0.313188630529903,0.310397946084724,,
06067003203,32.03,2680,-0.704637533325887,0.122593068035944,,
06001451504,4515.04,1709,0.751320792477958,0.907060333761232,,
06029003103,31.03,4084,-1.32163411020028,0.00680359435173299,,
06059110004,1100.04,4953,0.47936009692436,0.777792041078306,,
06059088903,889.03,8826,-0.213177894454678,0.365725288831836,,
06037134001,1340.01,3864,-0.409430791716664,0.260847240051348,,
06037276400,2764,4071,0.598169511606754,0.839794608472401,,
06065040806,408.06,3202,0.215277387633158,0.613478818998716,,
06065040808,408.08,8774,-0.414901992731101,0.257509627727856,,
06037277000,2770,5566,0.664446753564172,0.869319640564827,,
06075013500,135,2606,1.26513305313981,0.99216944801027,,
06001400600,4006,1745,0.891685564295153,0.94788189987163,,
06067007602,76.02,4661,-0.066001875619148,0.450449293966624,,
06029003803,38.03,8602,0.289739506691134,0.659306803594352,,
06059032040,320.40,2620,0.661112572170105,0.868549422336329,,
06059063806,638.06,3836,0.654197142676303,0.865853658536585,,
06037573401,5734.01,1642,-0.0375027031139008,0.468421052631579,,
06007000401,4.01,4186,0.256328309536497,0.637997432605905,,
06037113321,1133.21,6180,-0.0955768618774442,0.432734274711168,,
